,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Connecticut,"272,854","273,884","278,295","277,874","281,659","284,357","287,560","288,985"
Maine ,"63,698","64,746","65,434","65,545","66,590","67,138","67,905","68,441"
Massachusetts ,"558,472","568,220","573,506","577,754","586,347","592,588","599,092","604,208"
New Hampshire ,"83,379","84,269","85,133","85,075","87,244","88,147","89,152","89,836"
Rhode Island ,"59,734","60,591","60,413","61,612","62,578","63,242","63,903","64,441"
Vermont ,"32,726","33,236","33,393","33,670","34,284","34,612","34,973","35,271"
Delaware ,"72,091","73,025","74,461","74,348","74,270","75,216","75,765","76,410"
District of Columbia ,"138,469","139,580","141,969","142,626","144,075","145,476","146,996","148,231"
Maryland ,"405,573","412,085","414,704","417,976","422,247","426,407","430,388","434,312"
New Jersey,"612,202","620,066","625,747","629,996","636,068","641,902","648,984","652,412"
New York,"1,643,466","1,668,085","1,683,970","1,679,944","1,707,520","1,727,703","1,740,745","1,751,674"
Pennsylvania ,"766,322","781,035","790,711","794,604","801,909","810,326","817,216","824,603"
Illinois ,"851,327","860,588","872,317","877,010","884,430","893,580","901,572","908,913"
Indiana,"361,794","365,478","368,748","371,183","372,061","375,491","379,133","381,733"
Michigan ,"519,926","526,009","530,614","531,835","534,427","539,232","543,977","548,567"
Ohio ,"662,321","673,078","682,922","685,299","689,542","696,088","701,438","706,764"
Wisconsin ,"331,469","334,960","337,894","340,853","342,613","345,867","348,822","351,922"
Iowa ,"186,653","190,179","190,936","191,038","192,086","194,038","195,858","197,172"
Kansas,"165,477","168,173","169,379","170,243","170,325","172,358","174,183","175,703"
Minnesota ,"360,357","367,676","372,695","374,682","375,032","379,387","383,094","385,907"
Missouri ,"312,514","319,013","321,184","322,972","326,694","330,532","334,286","336,816"
Nebraska,"123,942","124,053","123,226","124,690","124,786","126,322","127,941","129,098"
North Dakota ,"54,380","55,963","57,018","56,968","56,609","57,031","57,106","57,400"
South Dakota ,"51,214","51,832","52,382","52,632","52,430","53,044","53,692","54,057"
Alabama ,"217,370","220,572","223,141","225,859","227,735","229,939","232,145","234,054"
Arkansas,"126,089","128,353","129,033","130,201","131,038","132,438","134,022","135,225"
Florida ,"1,020,177","1,032,277","1,048,478","1,056,014","1,073,992","1,087,312","1,100,721","1,111,378"
Georgia ,"579,993","588,340","597,746","602,535","607,081","613,105","619,818","625,329"
Kentucky,"204,567","207,646","209,065","211,073","211,801","213,735","215,586","217,564"
Louisiana ,"251,745","256,655","259,273","261,479","260,428","263,094","264,853","267,051"
Mississippi ,"112,674","114,940","115,471","116,252","116,930","118,263","119,497","120,429"
North Carolina ,"552,000","563,371","566,923","572,469","578,700","585,050","590,711","596,383"
South Carolina ,"228,541","232,474","235,528","239,176","242,484","245,083","247,711","249,958"
Tennessee ,"355,119","362,874","368,694","369,733","374,250","378,285","382,275","385,741"
Virginia ,"523,334","530,306","537,214","540,716","546,007","551,848","557,144","561,846"
West Virginia ,"75,115","77,104","78,766","78,766","77,725","78,256","78,270","78,507"
Arizona ,"340,673","345,474","351,709","355,333","359,405","364,277","368,556","372,522"
New Mexico,"97,489","99,742","101,586","102,370","102,579","103,814","104,349","105,263"
Oklahoma,"198,108","201,871","204,384","205,854","204,458","206,139","206,254","207,381"
Texas,"1,751,027","1,792,912","1,823,659","1,842,447","1,852,143","1,881,553","1,896,063","1,918,065"
Colorado ,"362,721","370,477","375,312","378,489","383,690","388,731","392,348","396,367"
Idaho ,"75,435","76,681","77,384","78,707","79,440","80,446","81,493","82,265"
Montana ,"49,190","50,111","50,615","51,390","51,326","51,933","52,470","52,948"
Utah ,"174,344","177,406","179,586","181,214","184,767","187,416","189,809","192,013"
Wyoming ,"38,431","38,957","39,473","39,613","39,393","39,788","39,610","39,794"
Alaska ,"53,563","54,373","55,410","55,591","54,941","55,495","55,430","55,759"
California ,"2,928,096","2,992,623","3,017,340","3,052,871","3,087,669","3,123,732","3,155,224","3,183,251"
Hawaii ,"91,947","93,589","94,288","95,369","96,094","96,832","97,664","98,536"
Nevada,"165,443","167,929","170,349","173,518","174,569","176,862","178,622","180,406"
Oregon ,"234,832","238,125","241,630","244,544","247,562","250,402","253,036","255,418"
Washington,"549,578","562,939","573,226","577,581","587,758","596,412","603,772","610,488"
